paper_id	year	title	in_scope	secondary	C_tags
doi:10.1038/s42256-024-00963-y	2025	Visual cognition in multimodal large language models	no	yes	C1,C4
doi:10.7759/cureus.82397	2025	Understanding Large Language Models in Healthcare: A Guide to Clinical Implementation and Interpreting Publications	no	yes	C3,C6
doi:10.1038/s41746-025-02071-6	2025	Uncertainty-aware large language models for explainable disease diagnosis	yes	yes	C2,C3,C4,C5
doi:10.1038/s41586-025-08866-7	2025	Towards conversational diagnostic artificial intelligence	no	yes	C1,C2,C3
doi:10.1609/aaai.v39i28.35374	2025	TRACE-CS: A Synergistic Approach to Explainable Course Scheduling Using LLMs and Logic	yes	no	C2
doi:10.1038/s41539-025-00301-w	2025	On opportunities and challenges of large multimodal foundation models in education	no	yes	C2
doi:10.3389/fdata.2024.1505284	2025	On explaining recommendations with Large Language Models: a review	yes	yes	C2
doi:10.59324/stss.2025.2(7).02	2025	Navigating the Labyrinth: A Review of Explainability and Trustworthiness in Large Language Model-Powered Systems for Sensitive Decision-Making	yes	yes	C1,C2
doi:10.2478/jdis-2025-0046	2025	Multimodal detection framework for financial fraud integrating LLMs and interpretable machine learning	yes	no	C2
doi:10.1109/tvcg.2025.3633884	2025	MisVisFix: An Interactive Dashboard for Detecting, Explaining, and Correcting Misleading Visualizations using Large Language Models	yes	no	C2
doi:10.7150/ijms.111780	2025	Large Language Models in Medicine: Applications, Challenges, and Future Directions	yes	yes	C2
doi:10.1057/s41599-025-04633-1	2025	Interpreting text corpora from androids-related stories using large language models: “Machines like me” by Ian McEwan in generative AI	no	no	C4
doi:10.1609/aaai.v39i9.33073	2025	Interpretable Face Anti-Spoofing: Enhancing Generalization with Multimodal Large Language Models	yes	no	C1,C2,C4
doi:10.1609/aaai.v39i8.32908	2025	ICM-Assistant: Instruction-tuning Multimodal Large Language Models for Rule-based Explainable Image Content Moderation	yes	no	C4
doi:10.1038/s42004-024-01393-y	2025	Human interpretable structure-property relationships in chemistry using explainable machine learning and large language models	yes	no	C2
doi:10.1609/aaai.v39i16.33843	2025	Extracting Interpretable Task-Specific Circuits from Large Language Models for Faster Inference	yes	no	C1
doi:10.18608/jla.2025.8885	2025	Exploring Fairness and Explainability in LLM-Generated Support for Online Learning Discussion Forums	yes	no	C2
doi:10.1038/s44401-025-00015-6	2025	Explainable differential diagnosis with dual-inference large language models	yes	no	C3,C4,C5
doi:10.1038/s41598-025-25406-5	2025	Explainable AI with fine-tuned large language models for sustainable cultural heritage management	yes	no	C2
doi:10.52783/jisem.v10i16s.2648	2025	Explainability and Interpretability of Large Language Models in Critical Applications	yes	no	C2
doi:10.1038/s41746-025-01684-1	2025	Evaluating large language model workflows in clinical decision support for triage and referral and diagnosis	yes	no	C2
doi:10.63332/joph.v5i4.1089	2025	Ethical Alignment in Large Language Models: Interpreting Moral Reasoning in Transformer-Based AI Systems	yes	yes	C2
doi:10.52783/jisem.v10i33s.5566	2025	Enhancing Explainability in AI Models: A Quantitative Comparison of XAI Techniques for Large Language Models and Healthcare Applications	yes	no	C1,C4,C6
doi:10.55248/gengpi.6.0525.1615	2025	Developing Interpretable Large Language Models for High-Stakes Decision-Making in Healthcare: Insights from an XAI Review Perspective	yes	yes	C2
doi:10.1186/s13244-025-02121-3	2025	Comparative Evaluation of Large Language Models in Explaining Radiology Reports: Expert Assessment of Readability, Understandability, and Communication Features	yes	no	C3
doi:10.1609/aaai.v39i11.33329	2025	Coherency Improved Explainable Recommendation via Large Language Model	yes	no	C2
doi:10.1038/s41467-025-67084-x	2025	CASSIA: a multi-agent large language model for automated and interpretable cell annotation	yes	no	C3,C4
doi:10.1609/aaai.v39i14.33637	2025	Argumentative Large Language Models for Explainable and Contestable Claim Verification	yes	no	C1,C4
doi:10.3389/frai.2025.1609097	2025	An overview of model uncertainty and variability in LLM-based sentiment analysis: challenges, mitigation strategies, and the role of explainability	yes	yes	C4
doi:10.1186/s13321-025-00979-5	2025	An interpretable deep geometric learning model to predict the effects of mutations on protein–protein interactions using large-scale protein language model	no	no	C2
doi:10.70777/si.v2i3.15161	2025	AI Agents vs. Agentic AI: A Conceptual Taxonomy, Applications and Challenges	no	no	C2
doi:10.1186/s40537-025-01093-x	2025	A reasoning based explainable multimodal fake news detection for low resource language using large language models and transformers	yes	no	C2
doi:10.2478/jaiscr-2025-0007	2025	A Comprehensive Survey of Retrieval-Augmented Large Language Models for Decision Making in Agriculture: Unsolved Problems and Research Opportunities	no	yes	C2
doi:10.1186/s40537-024-00928-3	2024	Xai-driven knowledge distillation of large language models for efficient deployment on low-resource devices	yes	no	C1,C4
doi:10.3389/frai.2024.1341697	2024	The perils and promises of fact-checking with large language models	yes	no	C2
doi:10.1038/s44271-023-00045-6	2024	The Russian war in Ukraine increased Ukrainian language use on social media	no	no	C2
doi:10.1038/s41562-024-01882-z	2024	Testing theory of mind in large language models and humans	no	no	C1,C4
doi:10.1609/icwsm.v18i1.31360	2024	Stance Detection with Collaborative Role-Infused LLM-Based Agents	yes	no	C1,C2
doi:10.1609/aaai.v38i19.30160	2024	Sparsity-Guided Holistic Explanation for LLMs with Interpretable Inference-Time Intervention	yes	no	C1,C2
doi:10.5204/lthj.3483	2024	Prompts and Large Language Models: A New Tool for Drafting, Reviewing and Interpreting Contracts?	no	no	C2
doi:10.14569/ijacsa.2024.0150168	2024	Practical Application of AI and Large Language Models in Software Engineering Education	no	no	C2
doi:10.1148/ryai.230364	2024	Performance of an Open-Source Large Language Model in Extracting Information from Free-Text Radiology Reports	yes	no	C2
doi:10.1609/aaai.v38i5.28308	2024	PathAsst: A Generative Foundation AI Assistant towards Artificial General Intelligence of Pathology	yes	no	C2
doi:10.54254/2755-2721/67/2024ma0060	2024	Optimization techniques for sentiment analysis based on LLM (GPT-3)	no	yes	C6
doi:10.1038/s41598-024-82111-5	2024	Novel approach for Arabic fake news classification using embedding from large language features with CNN-LSTM ensemble model and explainable AI	yes	no	C2
doi:10.2196/54607	2024	Multimodal ChatGPT-4V for Electrocardiogram Interpretation: Promise and Limitations	maybe	no	
doi:10.3389/fmed.2024.1477898	2024	Large language models in patient education: a scoping review of applications in medicine	yes	yes	C2
doi:10.3389/frai.2024.1460364	2024	Large language models for whole-learner support: opportunities and challenges	no	yes	C2
doi:10.1609/aaai.v38i17.29887	2024	LLMRG: Improving Recommendations through Large Language Model Reasoning Graphs	yes	no	C1,C2
doi:10.1609/aies.v7i1.31758	2024	LLM Voting: Human Choices and AI Collective Decision-Making	yes	no	C5
doi:10.1109/tvcg.2024.3368060	2024	LEVA: Using Large Language Models to Enhance Visual Analytics	yes	no	C2
doi:10.47392/irjaeh.2024.0206	2024	Investigating the Evolving Landscape of Deepfake Technology: Generative AI's Role in it's Generation and Detection	no	yes	C2
doi:10.1609/aaai.v38i20.30232	2024	Interpretable Long-Form Legal Question Answering with Retrieval-Augmented Large Language Models	yes	no	C1,C3
doi:10.1038/s44172-024-00271-8	2024	Interactive computer-aided diagnosis on medical image using large language models	yes	no	C2
doi:10.1162/99608f92.5317da47	2024	How Is ChatGPT’s Behavior Changing Over Time?	yes	no	C4
doi:10.1609/aaai.v38i8.28777	2024	Fine-Tuning Large Language Model Based Explainable Recommendation with Explainable Quality Reward	yes	no	C4
doi:10.1038/s41591-024-03097-1	2024	Evaluation and mitigation of the limitations of large language models in clinical decision-making	yes	no	C2,C3,C4
doi:10.2196/58158	2024	Evaluating and Enhancing Large Language Models’ Performance in Domain-Specific Medicine: Development and Usability Study With DocOA	yes	no	C2
doi:10.2196/60083	2024	Ethical Considerations and Fundamental Principles of Large Language Models in Medical Education: Viewpoint	yes	yes	C2
doi:10.21275/sr24710062038	2024	Ethical Considerations and Best Practices for Using Large Language Models in Decision - Making	no	yes	C2
doi:10.1038/s41598-024-77916-3	2024	Enhancing intention prediction and interpretability in service robots with LLM and KG	yes	no	C2
doi:10.30953/thmt.v9.485	2024	Discussing the Role of Explainable AI and Evaluation Frameworks for Safe and Effective Integration of Large Language Models in Healthcare	no	yes	C2
doi:10.1038/s41746-024-01010-1	2024	Diagnostic reasoning prompts reveal the potential for large language model interpretability in medicine	yes	no	C2,C3
doi:10.1038/s41598-024-65080-7	2024	Comparing human text classification performance and explainability with large language and machine learning models using eye-tracking	yes	no	C3
doi:10.1186/s13000-024-01464-7	2024	Challenges and barriers of using large language models (LLM) such as ChatGPT for diagnostic medicine with a focus on digital pathology – a recent scoping review	yes	yes	C2
doi:10.1609/aaaiss.v4i1.31764	2024	Cause and Effect: Can Large Language Models Truly Understand Causality?	yes	no	C2
doi:10.1609/aaai.v38i3.27999	2024	BLIVA: A Simple Multimodal LLM for Better Handling of Text-Rich Visual Questions	no	yes	C2
doi:10.1609/aaai.v38i21.30470	2024	Automated Assessment of Fidelity and Interpretability: An Evaluation Framework for Large Language Models’ Explanations (Student Abstract)	yes	no	C1,C2,C4
doi:10.3389/fpsyt.2024.1422807	2024	Applications of large language models in psychiatry: a systematic review	yes	yes	C2,C3,C5
doi:10.1186/s12938-024-01212-4	2024	Advantages of transformer and its application for medical image segmentation: a survey	no	yes	C2
doi:10.1088/1361-6560/ad387d	2024	Advancing medical imaging with language models: featuring a spotlight on ChatGPT	yes	yes	C2
