paper_id	doi	arxiv_id	year	title	venue	domain	user_group	task	model	data_modality	explanation_techniques	interaction_design	evaluation_design	n_participants	participant_type	metrics_trust	metrics_reliance	metrics_understanding	metrics_performance
doi:10.1038/s42256-024-00963-y	10.1038/s42256-024-00963-y		2025	Visual cognition in multimodal large language models	[llm_xai] Nature Machine Intelligence	multimodal LLMs; visual cognition; cognitive evaluation (intuitive physics, causal reasoning, intuitive psychology)		Evaluate vision-based LLMs on cognitive domains via controlled visual question answering tasks (intuitive physics, causal reasoning, intuitive psychology).	GPT-4V; Claude 3 Opus; Fuyu-8B; Otter; Llama Adapter (as evaluated MLLMs)	images (visual stimuli); VQA prompts	n/a (capability evaluation; not an explainability method paper)		Controlled experiments framed as psychological tasks; treat models as participants; visual question answering with task-specific prompts.						
doi:10.7759/cureus.82397	10.7759/cureus.82397		2025	Understanding Large Language Models in Healthcare: A Guide to Clinical Implementation and Interpreting Publications	[llm_xai] Cureus	healthcare LLMs; clinical implementation; interpreting LLM publications (review/primer)		Review/primer: explain key LLM terminology, evaluation methodologies, and considerations for clinical implementation; guide clinicians to interpret LLM studies.	various (discusses GPT-family and healthcare-specific LLMs; implementation frameworks like LangChain)	text (EHR/clinical notes discussed); general healthcare data	n/a (review of LLMs in healthcare; not focused on explainability methods for LLMs)		Narrative review describing common evaluation methodologies for LLM research in healthcare; no participants.						
doi:10.1038/s41746-025-02071-6	10.1038/s41746-025-02071-6		2025	Uncertainty-aware large language models for explainable disease diagnosis	[llm_xai] npj Digital Medicine	clinical LLMs; diagnostic reasoning; uncertainty quantification; explainable disease diagnosis		Uncertainty-aware disease diagnosis from clinical notes/symptoms with generated diagnoses plus explanations and explicit uncertainty recognition/explanation.	ConfiDx (fine-tuned LLM with diagnostic criteria); evaluates open-source 70B LLMs and fine-tuned variants	clinical text (notes/symptoms); diagnostic criteria; annotated datasets	LLM-generated diagnostic reasoning; uncertainty recognition + uncertainty explanation; criteria-guided fine-tuning		Benchmarks on real-world datasets; compares off-the-shelf vs fine-tuned; robustness on hold-out diseases; cross-institution generalization; expert-assisted evaluation.						
doi:10.1038/s41586-025-08866-7	10.1038/s41586-025-08866-7		2025	Towards conversational diagnostic artificial intelligence	[llm_xai] Nature	clinical conversational AI; diagnostic dialogue; evaluation of LLM-based agents		Diagnostic dialogue agent: history-taking, diagnosis, management, communication and empathy in simulated clinical conversations.	AMIE (LLM-based diagnostic dialogue system; self-play training with automated feedback)	text (dialogue); simulated patient cases	n/a (focus on dialogue performance; not an explainability method paper)		Simulation-based evaluation framework across multiple performance axes; compares against clinicians (simulated/panel).						
doi:10.1609/aaai.v39i28.35374	10.1609/aaai.v39i28.35374		2025	TRACE-CS: A Synergistic Approach to Explainable Course Scheduling Using LLMs and Logic	[llm_xai] Proceedings of the AAAI Conference on Artificial Intelligence	LLM-assisted explainable reasoning; symbolic explanations; scheduling (contrastive explanations)		"Answer contrastive user queries in course scheduling (""Why X instead of Y?"") with provably correct explanations."	Hybrid: SAT/SAT-explainer + LLM interface (parse NL queries to logic; refine symbolic explanations to NL).	structured constraints + natural language queries	contrastive explanations from symbolic solver; natural-language explanation refinement		Demonstration + correctness check over 100 queries; compares hybrid system vs LLM-only baselines.						
doi:10.1038/s41539-025-00301-w	10.1038/s41539-025-00301-w		2025	On opportunities and challenges of large multimodal foundation models in education	[llm_xai] npj Science of Learning	LLMs in education; multimodal foundation models; opportunities/challenges (perspective)		Overview of opportunities and challenges of large multimodal foundation models in education (middleware, tools, risks).	various LLMs/multimodal models (discussion)	text, speech, images, video (discussed)	n/a (perspective; not focused on explainability techniques)		Perspective/overview; no empirical evaluation.						
doi:10.3389/fdata.2024.1505284	10.3389/fdata.2024.1505284		2025	On explaining recommendations with Large Language Models: a review	[llm_xai] Frontiers in Big Data	LLM-generated explanations in recommender systems (systematic mini-review)		Systematic literature review on using LLMs to generate explanations for recommendations (Nov 2022–Nov 2024).	LLMs as explanation generators for recommender systems (various)	text explanations; recommender data (items/users)	LLM-generated natural-language recommendation explanations		Systematic review; search in ACM Guide; 232 found, 6 included.						
doi:10.59324/stss.2025.2(7).02	10.59324/stss.2025.2(7).02		2025	Navigating the Labyrinth: A Review of Explainability and Trustworthiness in Large Language Model-Powered Systems for Sensitive Decision-Making	[llm_xai] Scientia. Technology, science and society.	XAI + trustworthiness for LLM-powered systems in sensitive decision-making (review)		Review explainability, faithfulness, evaluation, user-centered/ethical design, and making LLMs explainable; proposes research agenda.	LLMs as decision-makers/explainers (discussion)	n/a (review)	post-hoc vs intrinsic vs human-centered XAI; faithfulness verification; hybrid symbolic-LLM ideas		Systematic literature review (claims 500+ sources; 40 selected).						
doi:10.2478/jdis-2025-0046	10.2478/jdis-2025-0046		2025	Multimodal detection framework for financial fraud integrating LLMs and interpretable machine learning	[llm_xai] Journal of Data and Information Science	LLMs + interpretable ML for fraud detection (multimodal framework)		Use LLM chunking/summarization/embeddings + structured indicators to predict corporate financial fraud; interpret with SHAP.	Doubao LLM for summaries/embeddings + GBDT models; SHAP for interpretability	long-form annual reports (text) + tabular financial/governance metrics	SHAP value analysis; interpretable ML (GBDT + feature attributions)		Supervised prediction on 5,304 firms; compares GBDT vs logistic regression; reports AUC and ablation/multimodal gains.						
doi:10.1109/tvcg.2025.3633884	10.1109/tvcg.2025.3633884		2025	MisVisFix: An Interactive Dashboard for Detecting, Explaining, and Correcting Misleading Visualizations using Large Language Models	[llm_xai] IEEE Transactions on Visualization and Computer Graphics	LLMs for explaining/correcting misleading visualizations (interactive system)		Detect, explain, and correct misleading visualizations via dashboard using LLMs; generate corrected charts and explanations.	Claude + GPT (as described in extracted text); interactive dashboard	visualizations (charts/images) + underlying data (optional upload)	LLM-generated issue explanations + actionable suggestions; interactive localization		System paper; reports issue identification rate and coverage of taxonomy (from extracted text).						
