paper_id	doi	arxiv_id	year	title	venue	domain	user_group	task	model	data_modality	abstract	explanation_techniques	interaction_design	evaluation_design	n_participants	participant_type	metrics_trust	metrics_reliance	metrics_understanding	metrics_performance	main_findings	conclusions	limitations	pdf_path	notes
doi:10.1038/s42256-024-00963-y	10.1038/s42256-024-00963-y		2025	Visual cognition in multimodal large language models	[llm_xai] Nature Machine Intelligence	multimodal LLMs; visual cognition; cognitive evaluation (intuitive physics, causal reasoning, intuitive psychology)		Evaluate vision-based LLMs on cognitive domains via controlled visual question answering tasks (intuitive physics, causal reasoning, intuitive psychology).	GPT-4V; Claude 3 Opus; Fuyu-8B; Otter; Llama Adapter (as evaluated MLLMs)	images (visual stimuli); VQA prompts	A chief goal of artificial intelligence is to build machines that think like Check for updates people. Yet it has been argued that deep neural network architectures fail to accomplish this. Researchers have asserted these models’ limitations in the domains of causal reasoning, intuitive physics and intuitive psychology. Yet recent advancements, namely the rise of large language models, particularly those designed for visual processing, have rekindled interest in the potential to emulate human-like cognitive abilities. This paper evaluates the current state of vision-based large language models in the domains of intuitive physics, causal reasoning and intuitive psychology. Through a series of controlled experiments, we investigate the extent to which these modern models grasp complex physical interactions, causal relationships and intuitive understanding of others’ preferences. Our findings reveal that, while some of these models demonstrate a notable proficiency in processing and interpreting visual data, they still fall short of human capabilities in these areas. Our results emphasize the need for integrating more robust mechanisms for understanding causality, physical dynamics and social cognition into modern-day, vision-based language models, and point out the importance of cognitively inspired benchmarks.	n/a (capability evaluation; not an explainability method paper)		Controlled experiments framed as psychological tasks; treat models as participants; visual question answering with task-specific prompts.							Vision-based LLMs show some proficiency on visual processing tasks but fall short of human performance on intuitive physics/causal reasoning/intuitive psychology benchmarks.	Highlights need for more robust mechanisms for causality, physical dynamics, and social cognition; proposes cognitively inspired benchmarks for evaluating VLMs.	Not focused on explainability/interpretability methods; evaluates cognitive performance rather than explanation faithfulness or transparency.	papers_openalex_llm_xai/unmapped_extras/10.1038_s42256-024-00963-y.pdf	For LLM-XAI survey: likely out-of-scope (focus is cognitive capability evaluation, not explainability methods). Extracted summary paragraph from front page as abstract surrogate.
doi:10.7759/cureus.82397	10.7759/cureus.82397		2025	Understanding Large Language Models in Healthcare: A Guide to Clinical Implementation and Interpreting Publications	[llm_xai] Cureus	healthcare LLMs; clinical implementation; interpreting LLM publications (review/primer)		Review/primer: explain key LLM terminology, evaluation methodologies, and considerations for clinical implementation; guide clinicians to interpret LLM studies.	various (discusses GPT-family and healthcare-specific LLMs; implementation frameworks like LangChain)	text (EHR/clinical notes discussed); general healthcare data	Large language models (LLMs) have generated excitement and interest in their capability to impact various facets of healthcare delivery. However, the rapidly expanding literature on LLMs presents challenges in understanding recent work, associated terminology, and potential applications for healthcare professionals. In this review, we discuss the development and evolution of LLMs, especially in healthcare. We provide a description of the key terminologies associated with LLMs to improve the understanding of these terms and their application context in healthcare. Evaluation of the experiments and research related to LLMs is fundamentally important for clinicians. Thus, we provide a description of evaluation methodologies used in LLM research. Lastly, through illustrative examples of research in application of LLMs in healthcare, we showcase the opportunities to leverage this state-of-the-art artificial intelligence (AI) technique with considerations for clinical and administrative adoption both by the patients and healthcare professionals. Through this review, we hope to equip the healthcare professionals with the knowledge they need to understand LLM in healthcare research. Categories: Medical Education, Healthcare Technology Keywords: artificial intelligence in medicine, deep learning artificial intelligence, health professional's education, large language models (llms), large language models (llms) in medicine, research	n/a (review of LLMs in healthcare; not focused on explainability methods for LLMs)		Narrative review describing common evaluation methodologies for LLM research in healthcare; no participants.							Summarizes LLM development, healthcare use cases, and common pitfalls (hallucinations, bias, costs) and provides guidance for interpreting the growing literature.	Provides clinician-facing primer and evaluation considerations to support safer adoption and critical reading of LLM healthcare studies.	Broad primer; limited depth on dedicated LLM explainability/interpretability techniques; secondary literature.	papers_openalex_llm_xai/unmapped_extras/10.7759_cureus.82397.pdf	For LLM-XAI explainability survey: treat as secondary/background (primer on implementation and how to interpret papers), not a methods paper.
doi:10.1038/s41746-025-02071-6	10.1038/s41746-025-02071-6		2025	Uncertainty-aware large language models for explainable disease diagnosis	[llm_xai] npj Digital Medicine	clinical LLMs; diagnostic reasoning; uncertainty quantification; explainable disease diagnosis		Uncertainty-aware disease diagnosis from clinical notes/symptoms with generated diagnoses plus explanations and explicit uncertainty recognition/explanation.	ConfiDx (fine-tuned LLM with diagnostic criteria); evaluates open-source 70B LLMs and fine-tuned variants	clinical text (notes/symptoms); diagnostic criteria; annotated datasets	Explainable disease diagnosis, which leverages patient information (e.g., symptoms) and computational models to generate probable diagnoses and reasoning, holds strong clinical promise. Yet, when clinical notes lack sufﬁcient evidence for a deﬁnitive diagnosis, such as the absence of deﬁnitive symptoms, diagnostic uncertainty commonly arises, increasing the risk of misdiagnosis. 1234567890():,; 1234567890():,; Despite its importance, the explicit identiﬁcation and explanation of diagnostic uncertainty remain under-explored in artiﬁcial intelligence-driven systems. To ﬁll this gap, we introduce ConﬁDx, an uncertainty-aware large language model ﬁne-tuned with diagnostic criteria. We formalized the task of uncertainty-aware diagnosis and curated richly annotated datasets that reﬂect varying degrees of diagnostic ambiguity. Evaluating on real-world datasets demonstrated that ConﬁDx excelled in identifying diagnostic uncertainties, achieving superior diagnostic performance, and generating trustworthy explanations for diagnoses and uncertainties. Moreover, ConﬁDx-assisted experts outperformed standalone experts by 10.7% in uncertainty recognition and 26% in uncertainty explanation, underscoring its substantial potential to improve clinical decision-making.	LLM-generated diagnostic reasoning; uncertainty recognition + uncertainty explanation; criteria-guided fine-tuning		Benchmarks on real-world datasets; compares off-the-shelf vs fine-tuned; robustness on hold-out diseases; cross-institution generalization; expert-assisted evaluation.							ConfiDx improves uncertainty identification, diagnostic performance, and generates explanations for diagnoses and uncertainties; experts assisted by ConfiDx improve uncertainty recognition and explanation.	Explicitly modeling diagnostic uncertainty in LLMs can improve clinical decision support and provide more trustworthy explanations beyond raw confidence.	Clinical applicability depends on dataset coverage and annotation; risk of miscalibration and guideline drift; needs prospective evaluation and workflow integration.	papers_openalex_llm_xai/unmapped_extras/10.1038_s41746-025-02071-6.pdf	In-scope for LLM explainability survey (explanations + uncertainty explanation for diagnosis).
doi:10.1038/s41586-025-08866-7	10.1038/s41586-025-08866-7		2025	Towards conversational diagnostic artificial intelligence	[llm_xai] Nature	clinical conversational AI; diagnostic dialogue; evaluation of LLM-based agents		Diagnostic dialogue agent: history-taking, diagnosis, management, communication and empathy in simulated clinical conversations.	AMIE (LLM-based diagnostic dialogue system; self-play training with automated feedback)	text (dialogue); simulated patient cases	At the heart of medicine lies physician–patient dialogue, where skillful history-taking Check for updates enables effective diagnosis, management and enduring trust1,2. Artificial intelligence (AI) systems capable of diagnostic dialogue could increase accessibility and quality of care. However, approximating clinicians’ expertise is an outstanding challenge. Here we introduce AMIE (Articulate Medical Intelligence Explorer), a large language model (LLM)-based AI system optimized for diagnostic dialogue. AMIE uses a self-play-based3 simulated environment with automated feedback for scaling learning across disease conditions, specialties and contexts. We designed a framework for evaluating clinically meaningful axes of performance, including history-taking, diagnostic accuracy, management, communication skills and empathy. We compared AMIE’s performance to that of primary care physicians in a randomized, double-blind crossover study of text-based consultations with validated patient-actors similar to objective structured clinical examination4,5. The study included 159 case scenarios from providers in Canada, the United Kingdom and India, 20 primary care physicians compared to AMIE, and evaluations by specialist physicians and patient-actors. AMIE demonstrated greater diagnostic accuracy and superior performance on 30 out of 32 axes according to the specialist physicians and 25 out of 26 axes according to the patient-actors. Our research has several limitations and should be interpreted with caution. Clinicians used synchronous text chat, which permits large-scale LLM–patient interactions, but this is unfamiliar in clinical practice. While further research is required before AMIE could be translated to real-world settings, the results represent a milestone towards conversational diagnostic AI. The dialogue between the physician and the patient is fundamental possibilities of AI in medicine towards the development of fully inter- to effective and compassionate care. The medical interview has been active conversational AI. Such medical AI systems would understand termed “the most powerful, sensitive, and most versatile instrument clinical language, intelligently acquire information under uncertainty available to the physician”2. In some settings, it is believed that 60–80% and engage in natural, diagnostically useful medical conversations with of diagnoses are made through clinical history-taking alone6. The patients and those who care for them. The potential real-world utility of physician–patient dialogue extends beyond history-taking and diag- AI systems capable of clinical and diagnostic dialogue is broad, with the nosis—it is a complex interaction that establishes rapport and trust, development of such capabilities possibly improving access to diagnos- serves as a tool for addressing health needs and can empower patients tic and prognostic expertise, thus improving the quality, consistency, to make informed decisions that account for their preferences, expec- availability and affordability of care. A health equity-centric approach tations and concerns7. While there is wide variation in communication to integrating such technology into existing workflows, which implies skills among clinicians, well-trained professionals can wield consider- work in the development, implementation and policy stages, may have able skills in clinical history-taking and the wider ‘diagnostic dialogue’. the potential to help realize better health outcomes (particularly for However, access to this expertise remains episodic and globally scarce8. populations facing healthcare disparities).	n/a (focus on dialogue performance; not an explainability method paper)		Simulation-based evaluation framework across multiple performance axes; compares against clinicians (simulated/panel).							Introduces AMIE and a multi-axis evaluation framework; reports strong diagnostic dialogue performance across history-taking, communication, and related axes.	LLM-based diagnostic dialogue is feasible and can be evaluated on clinically meaningful axes; highlights path to conversational diagnostic AI.	Primarily simulated evaluation; explainability/faithfulness not central; deployment/workflow risks remain.	papers_openalex_llm_xai/unmapped_extras/10.1038_s41586-025-08866-7.pdf	For LLM-XAI explainability survey: borderline; provides clinical dialogue capability + evaluation, but limited on explainability methods.
doi:10.1609/aaai.v39i28.35374	10.1609/aaai.v39i28.35374		2025	TRACE-CS: A Synergistic Approach to Explainable Course Scheduling Using LLMs and Logic	[llm_xai] Proceedings of the AAAI Conference on Artificial Intelligence	LLM-assisted explainable reasoning; symbolic explanations; scheduling (contrastive explanations)		"Answer contrastive user queries in course scheduling (""Why X instead of Y?"") with provably correct explanations."	Hybrid: SAT/SAT-explainer + LLM interface (parse NL queries to logic; refine symbolic explanations to NL).	structured constraints + natural language queries	In this paper, we present TRACE- CS (Trustworthy ReA- We present TRACE- CS, a novel hybrid system that combines soning for Contrastive Explanations in Course Scheduling symbolic reasoning with large language models (LLMs) to Problems), a synergistic system that combines symbolic rea- address contrastive queries in scheduling problems. TRACE- soning with the natural language capabilities of LLMs for CS leverages SAT solving techniques to encode scheduling generating explanations in course scheduling problems. Par- constraints and generate explanations for user queries, while ticularly, TRACE- CS generates natural language explana- utilizing an LLM to process the user queries into logical tions for contrastive user queries (e.g., “Why course X in- clauses as well as refine the explanations generated by the stead of course Y?”) by leveraging a state-of-the-art sym- symbolic solver to natural language sentences. By integrating bolic explainer (Vasileiou, Previti, and Yeoh 2021) together these components, our approach demonstrates the potential of with an LLM-powered user interface for natural language in- combining symbolic methods with LLMs to create explain- teractions, thus ensuring that the explanations are provably able AI agents with correctness guarantees. trustworthy as well as communicated to users in natural lan- guage. Our demonstration showcases how TRACE- CS han-	contrastive explanations from symbolic solver; natural-language explanation refinement		Demonstration + correctness check over 100 queries; compares hybrid system vs LLM-only baselines.							Hybrid system achieves 100% explanation correctness vs ~44–49% for LLM-only (reported).	Combining symbolic explainers with LLM interfaces yields trustworthy, user-friendly explanations with correctness guarantees.	Domain-specific (scheduling); depends on encoding constraints and labeled formulas; limited human user evaluation.	papers_openalex_llm_xai/unmapped_extras/10.1609_aaai.v39i28.35374.pdf	In-scope: LLMs used as explanation interface/refiner with correctness guarantees from symbolic module.
doi:10.1038/s41539-025-00301-w	10.1038/s41539-025-00301-w		2025	On opportunities and challenges of large multimodal foundation models in education	[llm_xai] npj Science of Learning	LLMs in education; multimodal foundation models; opportunities/challenges (perspective)		Overview of opportunities and challenges of large multimodal foundation models in education (middleware, tools, risks).	various LLMs/multimodal models (discussion)	text, speech, images, video (discussed)	Recently, the option to use large language models as a middleware connecting various AI tools and other large language models led to the development of so-called large multimodal foundation models, which have the power to process spoken text, music, images and videos. In this overview, we explain a new set of opportunities and challenges that arise from the integration of large multimodal foundation models in education.	n/a (perspective; not focused on explainability techniques)		Perspective/overview; no empirical evaluation.							Summarizes opportunities and challenges of multimodal foundation models in education.	Calls for careful integration and evaluation in educational settings.	Not an LLM explainability paper; high-level perspective.	papers_openalex_llm_xai/unmapped_extras/10.1038_s41539-025-00301-w.pdf	Out-of-scope for explainability methods; keep as contextual secondary literature.
doi:10.3389/fdata.2024.1505284	10.3389/fdata.2024.1505284		2025	On explaining recommendations with Large Language Models: a review	[llm_xai] Frontiers in Big Data	LLM-generated explanations in recommender systems (systematic mini-review)		Systematic literature review on using LLMs to generate explanations for recommendations (Nov 2022–Nov 2024).	LLMs as explanation generators for recommender systems (various)	text explanations; recommender data (items/users)	The rise of Large Language Models (LLMs), such as LLaMA and ChatGPT, RECEIVED 02 October 2024 has opened new opportunities for enhancing recommender systems through ACCEPTED 30 December 2024 improved explainability. This paper provides a systematic literature review PUBLISHED 27 January 2025 focused on leveraging LLMs to generate explanations for recommendations—a CITATION Said A (2025) On explaining recommendations critical aspect for fostering transparency and user trust. We conducted a with Large Language Models: a review. comprehensive search within the ACM Guide to Computing Literature, covering Front. Big Data 7:1505284. publications from the launch of ChatGPT (November 2022) to the present doi: 10.3389/fdata.2024.1505284 (November 2024). Our search yielded 232 articles, but after applying inclusion COPYRIGHT criteria, only six were identiﬁed as directly addressing the use of LLMs in © 2025 Said. This is an open-access article distributed under the terms of the Creative explaining recommendations. This scarcity highlights that, despite the rise of Commons Attribution License (CC BY). The LLMs, their application in explainable recommender systems is still in an early use, distribution or reproduction in other stage. We analyze these select studies to understand current methodologies, forums is permitted, provided the original author(s) and the copyright owner(s) are identify challenges, and suggest directions for future research. Our ﬁndings credited and that the original publication in underscore the potential of LLMs improving explanations of recommender this journal is cited, in accordance with systems and encourage the development of more transparent and user-centric accepted academic practice. No use, distribution or reproduction is permitted recommendation explanation solutions. which does not comply with these terms. KEYWORDS recommender systems, explainable recommendation, large language models, LLMS, explanations, explainable AI	LLM-generated natural-language recommendation explanations		Systematic review; search in ACM Guide; 232 found, 6 included.							Very few studies directly address LLMs for explainable recommendations; highlights scarcity and open gaps.	LLMs are promising explainers for recommender systems but evidence is sparse; need stronger evaluation and methods.	Secondary literature; narrow scope/time window; small included set.	papers_openalex_llm_xai/unmapped_extras/10.3389_fdata.2024.1505284.pdf	Relevant as secondary survey within broader LLM-XAI explainability topic.
doi:10.59324/stss.2025.2(7).02	10.59324/stss.2025.2(7).02		2025	Navigating the Labyrinth: A Review of Explainability and Trustworthiness in Large Language Model-Powered Systems for Sensitive Decision-Making	[llm_xai] Scientia. Technology, science and society.	XAI + trustworthiness for LLM-powered systems in sensitive decision-making (review)		Review explainability, faithfulness, evaluation, user-centered/ethical design, and making LLMs explainable; proposes research agenda.	LLMs as decision-makers/explainers (discussion)	n/a (review)	Large Language Models (LLMs) have proven to be game-changers in sectors that require high- stakes decision-making, such as healthcare, finance, and law. Despite this, LLMs are opaque, black boxes that present significant challenges in terms of explainability and trust, particularly when ethical, legal, and regulatory requirements necessitate transparency. This review examines the state- of-the-art in the intersection of Large Language Models (LLMs), Explainable Artificial Intelligence (XAI), and trustworthy AI. It addresses four research questions: the faithfulness of LLMs' explanations, the current state of evaluation, user-centered and ethical design in XAI systems, and the broader challenge of making LLMs themselves explainable. Using a systematic literature review approach, we reviewed over 500 sources published between 2018 and 2025 and narrowed our selection to draw insights from 40 significant contributions. We categorized the XAI methods into post-hoc, intrinsic, and human-centered approaches, and then mapped these methods to the categories of trustworthiness, including robustness, fairness, privacy, and accountability. The review revealed recurrent themes, including the hallucination of LLM explanations, limited evaluation metrics, the urgent need to create interactive explanation interfaces, and the meta-challenge of explaining complicated LLMs. As a consequence of the review process, we propose a research agenda with short-, medium-, and long-term priorities, including faithfulness verification, user modeling, symbolic-LLM hybrid architectures, and LLMs that are interpretable by design. This review synthesis contributes to the corpus of technical, ethical, and context-specific knowledge, offering foundational insights into the design of transparent, reliable, and human-aligned LLM-powered systems for sensitive domains.	post-hoc vs intrinsic vs human-centered XAI; faithfulness verification; hybrid symbolic-LLM ideas		Systematic literature review (claims 500+ sources; 40 selected).							Recurring issues: hallucinated explanations, limited metrics, need interactive interfaces, challenge of explaining LLMs.	Proposes short/medium/long-term research agenda for faithful, trustworthy LLM explanations.	Secondary literature; methodology details need auditing; not a primary method contribution.	papers_openalex_llm_xai/10.59324_stss.2025.2_7_.02.pdf	In-scope as a survey/secondary work; useful for taxonomy and gaps.
doi:10.2478/jdis-2025-0046	10.2478/jdis-2025-0046		2025	Multimodal detection framework for financial fraud integrating LLMs and interpretable machine learning	[llm_xai] Journal of Data and Information Science	LLMs + interpretable ML for fraud detection (multimodal framework)		Use LLM chunking/summarization/embeddings + structured indicators to predict corporate financial fraud; interpret with SHAP.	Doubao LLM for summaries/embeddings + GBDT models; SHAP for interpretability	long-form annual reports (text) + tabular financial/governance metrics	Purpose: This study aims to integrate large language models (LLMs) with interpretable machine learning methods to develop a multimodal data-driven framework for predicting corporate financial fraud, addressing the limitations of traditional approaches in long-text semantic parsing, model interpretability, and multi- source data fusion, thereby providing regulatory agencies with intelligent auditing tools. Design/methodology/approach: Analyzing 5,304 Chinese listed firms’ annual reports (2015-2020) from the CSMAD database, this study leverages the Doubao LLMs to generate chunked summaries and 256-dimensional semantic vectors, developing textual semantic features. It integrates 19 financial indicators, 11 governance metrics, and linguistic characteristics (tone, readability) with fraud prediction models optimized through a group of Gradient Boosted Decision Tree (GBDT) algorithms. SHAP value analysis in the final model reveals the risk transmission mechanism by quantifying the marginal impacts of financial, governance, and textual features on fraud likelihood. Findings: The study found that LLMs effectively distill lengthy annual reports into semantic summaries, while GBDT algorithms (AUC > 0.850) outperform the traditional Logistic Regression model in fraud detection. Multimodal fusion improved performance by 7.4%, with financial, governance, and textual features providing complementary signals. SHAP analysis revealed financial distress, governance conflicts, and narrative patterns (e.g., tone anchoring, semantic thresholds) as key fraud indicators, highlighting managerial intent in report language. † Corresponding author: Hui Nie (Email: issnh@mail.sysu.edu.cn). http://www.j-jdis.com | 291 JDIS | Vol 10 Issue 4 Research Papers Research limitations: This study identifies three key limitations: 1) lack of interpretability for semantic features, 2) absence of granular fraud-type differentiation, and 3) unexplored comparative validation with other deep learning methods. Future research will address these gaps to enhance fraud detection precision and model transparency. Practical implications: The developed semantic-enhanced evaluation model provides a quantitative tool for assessing listed companies’ information disclosure quality and enables practical implementation through its derivative real-time monitoring system. This advancement significantly strengthens capital market risk early warning capabilities, offering actionable insights for securities regulation. Originality/value: This study presents three key innovations: 1) A novel “chunking-summarization- embedding” framework for efficient semantic compression of lengthy annual reports (30,000 words); 2) Demonstration of LLMs’ superior performance in financial text analysis, outperforming traditional methods by 19.3%; 3) A novel “language-psychology-behavior” triad model for analyzing managerial fraud motives. Keywords Financial fraud detection; Large language models; Multimodal data fusion; Interpretable machine learning; Annual report	SHAP value analysis; interpretable ML (GBDT + feature attributions)		Supervised prediction on 5,304 firms; compares GBDT vs logistic regression; reports AUC and ablation/multimodal gains.							LLM-derived semantic features improve fraud detection; multimodal fusion improves performance; SHAP highlights key drivers.	LLM semantic compression + interpretable ML can support regulatory auditing with explainability.	Interpretability of embedding features limited; lacks fraud-type differentiation; needs broader validation.	papers_openalex_llm_xai/unmapped_extras/10.2478_jdis-2025-0046.pdf	Borderline in-scope: uses LLMs for feature extraction; explainability comes mainly from SHAP, not LLM explanation.
doi:10.1109/tvcg.2025.3633884	10.1109/tvcg.2025.3633884		2025	MisVisFix: An Interactive Dashboard for Detecting, Explaining, and Correcting Misleading Visualizations using Large Language Models	[llm_xai] IEEE Transactions on Visualization and Computer Graphics	LLMs for explaining/correcting misleading visualizations (interactive system)		Detect, explain, and correct misleading visualizations via dashboard using LLMs; generate corrected charts and explanations.	Claude + GPT (as described in extracted text); interactive dashboard	visualizations (charts/images) + underlying data (optional upload)	Misleading visualizations pose a significant challenge to accurate data interpretation. While recent research has explored the use of Large Language Models (LLMs) for detecting such misinformation, practical tools that also support explanation and correction remain limited. We present MisVisFix, an interactive dashboard that leverages both Claude and GPT models to support the full workflow of detecting, explaining, and correcting misleading visualizations. MisVisFix correctly identifies 96% of visualization issues and addresses all 74 known visualization misinformation types, classifying them as major, minor, or potential concerns. It provides detailed explanations, actionable suggestions, and automatically generates corrected charts. An interactive chat interface allows users to ask about specific chart elements or request modifications. The dashboard adapts to newly emerging misinformation strategies through targeted user interactions. User studies with visualization experts and developers of fact-checking tools show that MisVisFix accurately identifies issues and offers useful suggestions for improvement. By transforming LLM-based detection into an accessible, interactive platform, MisVisFix advances visualization literacy and supports more trustworthy data communication.	LLM-generated issue explanations + actionable suggestions; interactive localization		System paper; reports issue identification rate and coverage of taxonomy (from extracted text).							Tool identifies visualization issues and generates corrected charts with explanations; supports full workflow.	LLMs can power end-user explanation+correction tools for visualization misinformation.	Possible metadata mismatch: extracted text shows arXiv preprint (MisVisFix arXiv:2508.04679) while DOI is TVCG; verify published version.	papers_openalex_llm_xai/unmapped_extras/10.1109_tvcg.2025.3633884.pdf	In-scope (LLM explanations for multimodal artifacts), but verify the DOI/PDF is the final published TVCG version.
